size,n_neurons,n_patterns,stored_labels,correct,total,accuracy,mean_iterations
7,49,1,A,1,1,1.0,1.0
7,49,2,AB,2,2,1.0,1.0
7,49,3,ABC,0,3,0.0,2.0
7,49,4,ABCD,1,4,0.25,2.0
7,49,5,ABCDE,0,5,0.0,2.0
7,49,6,ABCDEF,1,6,0.16666666666666666,2.3333333333333335
7,49,7,ABCDEFG,0,7,0.0,2.0
7,49,8,ABCDEFGH,0,8,0.0,2.0
7,49,9,ABCDEFGHI,0,9,0.0,2.111111111111111
7,49,10,ABCDEFGHIJ,1,10,0.1,2.1
7,49,11,ABCDEFGHIJK,0,11,0.0,2.3636363636363638
7,49,12,ABCDEFGHIJKL,1,12,0.08333333333333333,2.9166666666666665
7,49,13,ABCDEFGHIJKLM,1,13,0.07692307692307693,3.0
7,49,14,ABCDEFGHIJKLMN,0,14,0.0,2.7857142857142856
7,49,15,ABCDEFGHIJKLMNO,0,15,0.0,2.4
7,49,16,ABCDEFGHIJKLMNOP,3,16,0.1875,2.25
7,49,17,ABCDEFGHIJKLMNOPQ,3,17,0.17647058823529413,1.9411764705882353
7,49,18,ABCDEFGHIJKLMNOPQR,4,18,0.2222222222222222,1.8333333333333333
7,49,19,ABCDEFGHIJKLMNOPQRS,4,19,0.21052631578947367,1.894736842105263
7,49,20,ABCDEFGHIJKLMNOPQRST,4,20,0.2,2.2
7,49,21,ABCDEFGHIJKLMNOPQRSTU,4,21,0.19047619047619047,1.9523809523809523
7,49,22,ABCDEFGHIJKLMNOPQRSTUV,4,22,0.18181818181818182,1.9545454545454546
7,49,23,ABCDEFGHIJKLMNOPQRSTUVW,4,23,0.17391304347826086,1.9565217391304348
7,49,24,ABCDEFGHIJKLMNOPQRSTUVWX,4,24,0.16666666666666666,1.9166666666666667
7,49,25,ABCDEFGHIJKLMNOPQRSTUVWXY,4,25,0.16,2.0
7,49,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,4,26,0.15384615384615385,2.1538461538461537
10,100,1,A,1,1,1.0,1.0
10,100,2,AB,2,2,1.0,1.0
10,100,3,ABC,0,3,0.0,2.0
10,100,4,ABCD,1,4,0.25,2.5
10,100,5,ABCDE,0,5,0.0,2.0
10,100,6,ABCDEF,1,6,0.16666666666666666,2.3333333333333335
10,100,7,ABCDEFG,0,7,0.0,2.0
10,100,8,ABCDEFGH,0,8,0.0,2.5
10,100,9,ABCDEFGHI,0,9,0.0,2.2222222222222223
10,100,10,ABCDEFGHIJ,1,10,0.1,2.8
10,100,11,ABCDEFGHIJK,0,11,0.0,2.3636363636363638
10,100,12,ABCDEFGHIJKL,1,12,0.08333333333333333,2.75
10,100,13,ABCDEFGHIJKLM,1,13,0.07692307692307693,2.8461538461538463
10,100,14,ABCDEFGHIJKLMN,0,14,0.0,2.7142857142857144
10,100,15,ABCDEFGHIJKLMNO,0,15,0.0,2.933333333333333
10,100,16,ABCDEFGHIJKLMNOP,0,16,0.0,3.3125
10,100,17,ABCDEFGHIJKLMNOPQ,0,17,0.0,3.1176470588235294
10,100,18,ABCDEFGHIJKLMNOPQR,0,18,0.0,2.7222222222222223
10,100,19,ABCDEFGHIJKLMNOPQRS,0,19,0.0,2.5789473684210527
10,100,20,ABCDEFGHIJKLMNOPQRST,0,20,0.0,2.6
10,100,21,ABCDEFGHIJKLMNOPQRSTU,0,21,0.0,2.6666666666666665
10,100,22,ABCDEFGHIJKLMNOPQRSTUV,0,22,0.0,2.590909090909091
10,100,23,ABCDEFGHIJKLMNOPQRSTUVW,0,23,0.0,2.652173913043478
10,100,24,ABCDEFGHIJKLMNOPQRSTUVWX,0,24,0.0,2.25
10,100,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0,25,0.0,2.28
10,100,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0,26,0.0,2.1538461538461537
15,225,1,A,1,1,1.0,1.0
15,225,2,AB,2,2,1.0,1.0
15,225,3,ABC,0,3,0.0,2.0
15,225,4,ABCD,0,4,0.0,2.75
15,225,5,ABCDE,0,5,0.0,2.0
15,225,6,ABCDEF,0,6,0.0,2.3333333333333335
15,225,7,ABCDEFG,0,7,0.0,2.0
15,225,8,ABCDEFGH,0,8,0.0,2.75
15,225,9,ABCDEFGHI,0,9,0.0,2.3333333333333335
15,225,10,ABCDEFGHIJ,0,10,0.0,3.2
15,225,11,ABCDEFGHIJK,0,11,0.0,2.4545454545454546
15,225,12,ABCDEFGHIJKL,0,12,0.0,3.25
15,225,13,ABCDEFGHIJKLM,0,13,0.0,3.0
15,225,14,ABCDEFGHIJKLMN,0,14,0.0,4.214285714285714
15,225,15,ABCDEFGHIJKLMNO,0,15,0.0,2.6666666666666665
15,225,16,ABCDEFGHIJKLMNOP,0,16,0.0,4.0
15,225,17,ABCDEFGHIJKLMNOPQ,0,17,0.0,3.4705882352941178
15,225,18,ABCDEFGHIJKLMNOPQR,0,18,0.0,3.611111111111111
15,225,19,ABCDEFGHIJKLMNOPQRS,0,19,0.0,2.789473684210526
15,225,20,ABCDEFGHIJKLMNOPQRST,0,20,0.0,3.35
15,225,21,ABCDEFGHIJKLMNOPQRSTU,0,21,0.0,2.9047619047619047
15,225,22,ABCDEFGHIJKLMNOPQRSTUV,0,22,0.0,2.772727272727273
15,225,23,ABCDEFGHIJKLMNOPQRSTUVW,0,23,0.0,3.3043478260869565
15,225,24,ABCDEFGHIJKLMNOPQRSTUVWX,0,24,0.0,3.2916666666666665
15,225,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0,25,0.0,3.48
15,225,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0,26,0.0,3.423076923076923
